,NAME,host_identity_verified,host.name,neighbourhood.group,neighbourhood,lat,long,instant_bookable,cancellation_policy,room.type,Construction.year,price,service.fee,minimum.nights,number.of.reviews,reviews.per.month,review.rate.number,calculated.host.listings.count,availability.365
50607,Private room with Shared bath on Union Square 1,unconfirmed,Koichi,Manhattan,Gramercy,40.73535,-73.98807,FALSE,moderate,Private room,2007,"$1,200 ",$240 ,3,17,4.05,3,14,48
75950,An Urban Oasis in the Heart of Downtown Brooklyn,verified,Alicia,Brooklyn,Boerum Hill,40.68475,-73.97986,TRUE,strict,Entire home/apt,2005,"$1,200 ",$240 ,2,10,0.29,5,1,11
72038,1BR GARDEN APT 25 MIN TO MANHATTAN,verified,Anna,Brooklyn,East Flatbush,40.64569,-73.94776,FALSE,strict,Entire home/apt,2008,"$1,200 ",$240 ,30,29,0.74,4,1,326
12576,Cozy room in Chic Apt Astoria NY,verified,Raul,Queens,Astoria,40.76933,-73.91164,TRUE,moderate,Private room,2008,"$1,200 ",$240 ,1,14,0.32,4,4,94
5208,Bushwick Room w/ Private Entrance & Bathroom!,unconfirmed,Julie,Brooklyn,Bushwick,40.70322,-73.92913,TRUE,strict,Private room,2020,"$1,200 ",$240 ,1,16,0.32,1,5,30
68497,Williamsburg home away from home,verified,Dana,Brooklyn,Williamsburg,40.7079,-73.96609,FALSE,strict,Private room,2020,"$1,200 ",$240 ,7,8,0.43,4,1,0
53426,Lovely room in a quiet area w/ breakfast gratis,verified,Beth,Brooklyn,Midwood,40.62179,-73.95219,TRUE,moderate,Private room,2003,"$1,200 ",$240 ,3,102,1.36,3,3,160
99861,1.5 BATHRM SUNNY SPACIOUS ROOM BY SUBWAY,unconfirmed,Golden&Mavy,Manhattan,Harlem,40.82284,-73.95546,TRUE,strict,Private room,2011,"$1,200 ",$240 ,30,4,0.14,4,2,365
53234,Hot-Tub and King beds in Brooklyn!,verified,Jeremy,Brooklyn,Bedford-Stuyvesant,40.69493,-73.94314,TRUE,flexible,Entire home/apt,2008,"$1,200 ",$240 ,2,311,4.16,5,1,128
62610,One cozy bedroom near Verrazano bridge and ferry,unconfirmed,Chun Kit,Staten Island,Shore Acres,40.61126,-74.06789,FALSE,strict,Private room,2019,"$1,200 ",$240 ,1,5,0.59,5,1,0
20344,Lovely apartment in Williamsburg,verified,Harry,Brooklyn,Greenpoint,40.72253,-73.9435,TRUE,flexible,Private room,2020,"$1,200 ",$240 ,7,6,0.2,2,1,62
84468,Spacious West Village Studio Apt,unconfirmed,Kate,Manhattan,West Village,40.72983,-74.00557,FALSE,moderate,Entire home/apt,2021,"$1,199 ",$240 ,1,25,0.67,3,1,41
55148,1 bedroom sanctuary in Brooklyn,unconfirmed,Claire,Brooklyn,Crown Heights,40.67461,-73.96244,TRUE,strict,Entire home/apt,2007,"$1,199 ",$240 ,4,8,0.55,5,1,32
52236,"Gorgeous 2 BR, prime Bed Stuy location!",verified,Victoria,Brooklyn,Bedford-Stuyvesant,40.67977,-73.94748,TRUE,strict,Entire home/apt,2007,"$1,199 ",$240 ,3,47,3.28,3,1,44
34322,Furnished and Finished Basement Entire Place SAFE,unconfirmed,Yerddy,Bronx,Wakefield,40.89382,-73.84844,FALSE,strict,Entire home/apt,2009,"$1,199 ",$240 ,30,7,0.69,3,2,188
59680,Lovely 1 private bedroom #2,verified,Bruce,Brooklyn,Bay Ridge,40.62164,-74.02275,FALSE,strict,Private room,2010,"$1,199 ",$240 ,1,2,0.92,3,9,364
90763,"Harlem ""Hostel"" for Single Travelers",unconfirmed,Sarah-Jane,Manhattan,Harlem,40.81516,-73.94829,FALSE,strict,Shared room,2007,"$1,199 ",$240 ,2,36,1.28,4,2,88
51904,CENTERED LOCATION*7TH FLOOR*STUDIO FOR 4 PEOPLE,unconfirmed,Julia,Manhattan,Midtown,40.74846,-73.98808,FALSE,moderate,Entire home/apt,2006,"$1,199 ",$240 ,1,39,2.06,3,9,340
33344,Tempting Loft in Lovely Neighborhood,verified,Kim,Brooklyn,Bedford-Stuyvesant,40.69474,-73.95498,TRUE,moderate,Entire home/apt,2017,"$1,199 ",$240 ,10,2,0.18,4,1,24
67891,Amazing Private Room close Time Sq & Central Park.,unconfirmed,Michelle & Heddy,Manhattan,Hell's Kitchen,40.76475,-73.98902,TRUE,flexible,Private room,2015,"$1,199 ",$240 ,2,161,2.38,3,1,0
10829,#NAME?,unconfirmed,Gordon M,Manhattan,Harlem,40.82323,-73.95494,FALSE,strict,Private room,2022,"$1,199 ",$240 ,2,84,1.82,3,4,20
78105,"Harlem ""Hostel"" for Single Travelers",unconfirmed,Sarah-Jane,Manhattan,Harlem,40.81516,-73.94829,TRUE,flexible,Shared room,2007,"$1,199 ",$240 ,2,36,1.28,4,2,88
72662,#NAME?,unconfirmed,Gordon M,Manhattan,Harlem,40.82323,-73.95494,TRUE,flexible,Private room,2022,"$1,199 ",$240 ,2,84,1.82,3,4,72
34522,Super clean! 2 Bedrooms in Bensonhurst -Sleeps 8,verified,Lily,Brooklyn,Bensonhurst,40.60557,-73.99799,TRUE,strict,Entire home/apt,2010,"$1,199 ",$240 ,2,27,2.57,4,2,128
80122,Cozy 1BR Home in Upper Manhattan w/ Amenities,verified,Daniel,Manhattan,Inwood,40.86057,-73.92907,TRUE,strict,Entire home/apt,2021,"$1,199 ",$240 ,1,9,0.37,3,1,0
7489,Spacious + Modern with Yard,verified,Maria,Brooklyn,Greenpoint,40.73111,-73.95592,TRUE,flexible,Entire home/apt,2021,"$1,199 ",$240 ,3,16,0.4,1,1,224
1142,Perfect & Stylish Williamsburg Apt,unconfirmed,Jodi,Brooklyn,Williamsburg,40.70743,-73.96728,TRUE,flexible,Entire home/apt,2009,"$1,198 ",$240 ,7,69,0.85,2,1,1
60868,"Private Studio, Hudson Yards 3A",verified,Hudson,Manhattan,Hell's Kitchen,40.75609,-73.99801,TRUE,strict,Entire home/apt,2022,"$1,198 ",$240 ,2,7,0.63,4,22,173
73374,Sunny in Williamsburg: Amazing Location,unconfirmed,Zoe,Brooklyn,Williamsburg,40.71044,-73.9583,FALSE,strict,Private room,2015,"$1,198 ",$240 ,25,6,0.42,3,2,0
53510,Bright Loft Deluxe  With 3 Beds & Broadway View #5,verified,Alberto Fernando,Manhattan,Midtown,40.74795,-73.98712,FALSE,strict,Entire home/apt,2007,"$1,198 ",$240 ,1,35,3.56,2,8,248
31327,Huge Room in a huge Apartment,unconfirmed,Sam,Brooklyn,Williamsburg,40.7193,-73.95863,FALSE,flexible,Private room,2013,"$1,198 ",$240 ,4,1,0.1,2,1,157
17434,Complete apartment/room at  100th,unconfirmed,Rafael,Manhattan,East Harlem,40.78918,-73.94995,FALSE,moderate,Entire home/apt,2003,"$1,198 ",$240 ,3,18,0.49,3,2,0
32501,Private Apartment w/Sunny Balcony in Riverdale NYC,verified,Tamara & Fran,Bronx,North Riverdale,40.90329,-73.89991,TRUE,flexible,Entire home/apt,2020,"$1,198 ",$240 ,2,27,2.13,4,1,328
27793,Full mattress in the living room,unconfirmed,Iris,Queens,Rego Park,40.72826,-73.87015,FALSE,flexible,Shared room,2009,"$1,198 ",$240 ,1,11,0.55,2,4,0
67542,"15 Min  Manhattan, Safe, Clean, Quiet, Good Price",verified,Melih,Queens,Sunnyside,40.73688,-73.92231,FALSE,moderate,Shared room,2022,"$1,198 ",$240 ,30,3,0.1,3,1,0
80104,Spacious Private Bedroom in Hip Bushwick,unconfirmed,Maria,Brooklyn,Bushwick,40.69604,-73.92278,TRUE,moderate,Private room,2015,"$1,198 ",$240 ,25,6,0.24,1,1,0
96265,Master bedroom. 20 min. train to Time Square!,unconfirmed,Angelica,Manhattan,Harlem,40.81493,-73.94403,TRUE,flexible,Private room,2006,"$1,198 ",$240 ,1,67,5.39,2,2,170
95522,"Bright Modern LUX 1BR with pool, gym and sauna",unconfirmed,Olivia,Manhattan,Hell's Kitchen,40.76243,-73.99805,FALSE,moderate,Entire home/apt,2014,"$1,198 ",$240 ,1,31,2.74,3,1,84
10283,UWS Apartment and Garden Terrace,unconfirmed,Craig,Manhattan,Upper West Side,40.80268,-73.969,TRUE,flexible,Entire home/apt,2010,"$1,198 ",$240 ,4,11,0.23,4,1,175
61689,Perfect Home Away from Home in NYC!,verified,AFI Apartments,Manhattan,Upper East Side,40.77253,-73.95736,TRUE,strict,Entire home/apt,2011,"$1,197 ",$239 ,30,3,0.04,2,30,313
61823,Gorgeous Private room in NYC blocks from RUMC F1R1,unconfirmed,Aicha,Staten Island,Tompkinsville,40.6318,-74.09272,FALSE,moderate,Private room,2022,"$1,197 ",$239 ,2,3,0.37,4,10,365
88849,"PH Cozy, Clean, Close to Everything",unconfirmed,Whit,Brooklyn,Crown Heights,40.67933,-73.96219,TRUE,strict,Entire home/apt,2022,"$1,197 ",$239 ,2,16,0.48,1,1,35
8648,COZY CORNER GREENWICH VILLAGE,verified,Kristin,Manhattan,West Village,40.73267,-74.00379,TRUE,strict,Private room,2014,"$1,197 ",$239 ,3,64,1.29,2,2,289
98863,Cozy Loft Studio with Skylight!,verified,Diego,Brooklyn,Greenpoint,40.73176,-73.95525,FALSE,flexible,Entire home/apt,2020,"$1,197 ",$239 ,1,32,3.47,4,6,0
4578,Bright 1 bedroom near Columbia,unconfirmed,Albane,Manhattan,Upper West Side,40.79739,-73.96945,TRUE,moderate,Entire home/apt,2014,"$1,197 ",$239 ,3,8,0.13,1,1,113
85278,BEAUTIFUL 1bd/1bath available in Williamsburg,verified,Franco,Brooklyn,Williamsburg,40.70851,-73.95443,TRUE,flexible,Private room,2016,"$1,197 ",$239 ,4,2,0.77,5,1,167
101650,Spacious Private 1BR with more sleeping space,verified,Estie,Brooklyn,Crown Heights,40.67013,-73.94397,TRUE,strict,Entire home/apt,2005,"$1,197 ",$239 ,2,23,0.83,1,3,182
53386,Lovely two bedroom loft in NYC,unconfirmed,Veronica,Staten Island,Arrochar,40.59139,-74.07612,TRUE,strict,Entire home/apt,2012,"$1,196 ",$239 ,2,5,2.73,3,2,78
27915,Charming alcove studio in PRIME location!!,unconfirmed,Ashley,Manhattan,East Village,40.72755,-73.98755,FALSE,strict,Entire home/apt,2008,"$1,196 ",$239 ,4,1,0.05,5,1,0
96243,Newly Renovated 2B/2B Skyline & River views BBQ,verified,Juan,Manhattan,Upper West Side,40.77511,-73.99005,FALSE,moderate,Entire home/apt,2018,"$1,196 ",$239 ,2,26,2.17,2,1,2
102372,Room 4 -Sunny Cozy Room in Historic Victorian Home,unconfirmed,Elizabeth,Brooklyn,Flatbush,40.64408,-73.96979,FALSE,moderate,Private room,2017,"$1,196 ",$239 ,2,28,2.64,4,6,68
5897,Comfortable Room w/access to full apartment,verified,Talisa,Brooklyn,East Flatbush,40.64768,-73.95138,TRUE,strict,Private room,2011,"$1,196 ",$239 ,1,5,0.27,3,1,313
46127,Luxurious Large private room near LGA (#01),unconfirmed,Ajmol,Queens,East Elmhurst,40.76566,-73.87215,FALSE,moderate,Private room,2013,"$1,196 ",$239 ,1,11,7.5,4,5,78
